date,bank_rate_monthly_avg,bank_rate_end_month,gilt_yield
1981-12-31,14.4018,14.375,15.0680190699893
1982-01-31,14.1844,13.875,14.6431504149527
1982-02-28,13.8406,13.625,13.7608064178934
1982-03-31,13.3641,13.25,13.7929558459753
1982-04-30,13.175,13.125,14.1336936425987
1982-05-31,13.125,13.125,13.914338628655
1982-06-30,12.7386,12.625,13.8766454186257
1982-07-31,12.2045,11.625,13.281004050792
1982-08-31,11.2857,10.625,12.0436712648848
1982-09-30,10.5682,10.125,11.6572724242611
1982-10-31,9.7917,9.625,10.7415453670352
1982-11-30,9.2557,10,11.7290760326446
1982-12-31,10,10,11.3339302563835
1983-01-31,10.7,11,12.1314407198579
1983-02-28,11,11,11.5788055955941
1983-03-31,10.7527,10.5625,11.2848920057694
1983-04-30,10.2336,10.0625,11.149755556561
1983-05-31,10.0625,10.0625,10.9727954867366
1983-06-30,9.7557,9.5625,11.1207839894774
1983-07-31,9.5625,9.5625,11.6773376806927
1983-08-31,9.5568,9.5625,11.5908823538858
1983-09-30,9.5625,9.5625,10.9866259754722
1983-10-31,9.0625,9.0625,10.8850008156246
1983-11-30,9.0625,9.0625,10.6112932917125
1983-12-31,9.0625,9.0625,10.7704338567254
1984-01-31,9.0625,9.0625,10.8629865226026
1984-02-29,9.0625,9.0625,10.7988086516804
1984-03-31,8.7102,8.5625,10.667141166488
1984-04-30,8.5625,8.5625,11.034267173342
1984-05-31,8.9196,9.0625,11.7378210505248
1984-06-30,9.0536,8.875,11.6892600513206
1984-07-31,11.1591,12,12.2421335151889
1984-08-31,11.0114,10.5,11.3013843484509
1984-09-30,10.5,10.5,11.0099510115998
1984-10-31,10.5,10.5,10.9614006391365
1984-11-30,9.8636,9.5,10.7630854194921
1984-12-31,9.5,9.5,11.0697703834813
1985-01-31,11.375,13.875,11.3650522346852
1985-02-28,13.875,13.875,11.2692088620743
1985-03-31,13.6369,12.875,10.9653818840681
1985-04-30,12.675,12.375,10.9525122975443
1985-05-31,12.375,12.375,10.9581884912441
1985-06-30,12.375,12.375,10.871871418601
